id,question,faithfulness_score,truth_hallucinated,predicted_hallucinated
11904,how do automotive technicians get paid,0.9997,0,0
11905,how do automotive technicians get paid,0.9997,0,0
11906,how do automotive technicians get paid,0.9998,0,0
11907,how do automotive technicians get paid,0.9974,0,0
11908,how do automotive technicians get paid,0.021,1,1
11909,how do automotive technicians get paid,0.9996,0,0
12012,what is the difference between tartate and succinate,0.9996,0,0
12013,what is the difference between tartate and succinate,0.9995,0,0
12014,what is the difference between tartate and succinate,0.9993,0,0
12015,what is the difference between tartate and succinate,0.9997,0,0
12016,what is the difference between tartate and succinate,0.9995,0,0
12017,what is the difference between tartate and succinate,0.9996,0,0
12018,wat is dna,0.9997,0,0
12019,wat is dna,0.9995,0,0
12020,wat is dna,0.9996,0,0
12021,wat is dna,0.3674,0,1
12022,wat is dna,0.9996,0,0
12023,wat is dna,0.9983,0,0
12042,how to grill a porterhouse,0.9998,0,0
12043,how to grill a porterhouse,0.9998,0,0
12044,how to grill a porterhouse,0.0029,1,1
12045,how to grill a porterhouse,0.0088,1,1
12046,how to grill a porterhouse,0.0055,1,1
12047,how to grill a porterhouse,0.9979,0,0
12066,magellan of virginia provider,0.9994,0,0
12067,magellan of virginia provider,0.0044,0,1
12068,magellan of virginia provider,0.9997,0,0
12069,magellan of virginia provider,0.9987,0,0
12070,magellan of virginia provider,0.9972,0,0
12071,magellan of virginia provider,0.0376,0,1
12102,how to fix a door that won't lock,0.9994,0,0
12103,how to fix a door that won't lock,0.9996,0,0
12104,how to fix a door that won't lock,0.9995,0,0
12105,how to fix a door that won't lock,0.9991,0,0
12106,how to fix a door that won't lock,0.9996,0,0
12107,how to fix a door that won't lock,0.9995,0,0
12132,how to cook pollock?,0.9996,0,0
12133,how to cook pollock?,0.9996,0,0
12134,how to cook pollock?,0.2368,0,1
12135,how to cook pollock?,0.9868,0,0
12136,how to cook pollock?,0.9982,0,0
12137,how to cook pollock?,0.0016,0,1
12180,how to get plastic out of clothes dryer,0.998,0,0
12181,how to get plastic out of clothes dryer,0.9994,0,0
12182,how to get plastic out of clothes dryer,0.9995,0,0
12183,how to get plastic out of clothes dryer,0.9973,0,0
12184,how to get plastic out of clothes dryer,0.9993,0,0
12185,how to get plastic out of clothes dryer,0.9408,0,0
12216,how to fold a quilt,0.9996,0,0
12217,how to fold a quilt,0.9998,0,0
12218,how to fold a quilt,0.9988,0,0
12219,how to fold a quilt,0.9864,1,0
12220,how to fold a quilt,0.0066,0,1
12221,how to fold a quilt,0.997,0,0
12228,benefits of a water pick,0.9994,0,0
12229,benefits of a water pick,0.9994,0,0
12230,benefits of a water pick,0.9988,0,0
12231,benefits of a water pick,0.9939,0,0
12232,benefits of a water pick,0.8983,0,0
12233,benefits of a water pick,0.999,1,0
12240,how can i keep birds from building a nest on my porch,0.9997,0,0
12241,how can i keep birds from building a nest on my porch,0.9991,0,0
12242,how can i keep birds from building a nest on my porch,0.9997,0,0
12243,how can i keep birds from building a nest on my porch,0.9988,0,0
12244,how can i keep birds from building a nest on my porch,0.9689,0,0
12245,how can i keep birds from building a nest on my porch,0.9995,0,0
12258,set default browser to windows,0.999,0,0
12259,set default browser to windows,0.9994,0,0
12260,set default browser to windows,0.9994,1,0
12261,set default browser to windows,0.0078,1,1
12262,set default browser to windows,0.7019,1,1
12263,set default browser to windows,0.999,0,0
12294,what is the proper way to dispose of a worn usa flag,0.9994,0,0
12295,what is the proper way to dispose of a worn usa flag,0.9996,0,0
12296,what is the proper way to dispose of a worn usa flag,0.9995,0,0
12297,what is the proper way to dispose of a worn usa flag,0.9906,1,0
12298,what is the proper way to dispose of a worn usa flag,0.0259,0,1
12299,what is the proper way to dispose of a worn usa flag,0.9983,0,0
12330,how to tell if your male coworker is flirting with you,0.9994,0,0
12331,how to tell if your male coworker is flirting with you,0.9993,0,0
12332,how to tell if your male coworker is flirting with you,0.9997,0,0
12333,how to tell if your male coworker is flirting with you,0.0355,0,1
12334,how to tell if your male coworker is flirting with you,0.0124,0,1
12335,how to tell if your male coworker is flirting with you,0.9684,0,0
12342,how to cook brats,0.9995,0,0
12343,how to cook brats,0.9963,0,0
12344,how to cook brats,0.9997,0,0
12345,how to cook brats,0.0059,1,1
12346,how to cook brats,0.9918,0,0
12347,how to cook brats,0.9994,0,0
12432,symptoms and causes of ibs,0.9997,0,0
12433,symptoms and causes of ibs,0.9997,0,0
12434,symptoms and causes of ibs,0.999,0,0
12435,symptoms and causes of ibs,0.9996,1,0
12436,symptoms and causes of ibs,0.9994,0,0
12437,symptoms and causes of ibs,0.9979,0,0
12438,how to prepare blood slide,0.9996,0,0
12439,how to prepare blood slide,0.9997,0,0
12440,how to prepare blood slide,0.9991,0,0
12441,how to prepare blood slide,0.9993,0,0
12442,how to prepare blood slide,0.9991,0,0
12443,how to prepare blood slide,0.9991,0,0
12444,what is the difference between essential and nonessential amino acids,0.9992,0,0
12445,what is the difference between essential and nonessential amino acids,0.9996,0,0
12446,what is the difference between essential and nonessential amino acids,0.9996,0,0
12447,what is the difference between essential and nonessential amino acids,0.604,0,1
12448,what is the difference between essential and nonessential amino acids,0.9995,0,0
12449,what is the difference between essential and nonessential amino acids,0.004,1,1
12456,typical weather in indiana,0.9982,0,0
12457,typical weather in indiana,0.999,0,0
12458,typical weather in indiana,0.0084,1,1
12459,typical weather in indiana,0.0067,1,1
12460,typical weather in indiana,0.0029,1,1
12461,typical weather in indiana,0.007,1,1
12468,how to sync audiobook from iphone to itunes,0.9997,0,0
12469,how to sync audiobook from iphone to itunes,0.9997,0,0
12470,how to sync audiobook from iphone to itunes,0.9996,0,0
12471,how to sync audiobook from iphone to itunes,0.9994,1,0
12472,how to sync audiobook from iphone to itunes,0.0889,0,1
12473,how to sync audiobook from iphone to itunes,0.9974,0,0
12516,how the body systems work together,0.9997,0,0
12517,how the body systems work together,0.9995,0,0
12518,how the body systems work together,0.0428,1,1
12519,how the body systems work together,0.0032,0,1
12520,how the body systems work together,0.9995,0,0
12521,how the body systems work together,0.0123,1,1
12522,what is the difference between the leeward and windward islands?,0.9705,0,0
12523,what is the difference between the leeward and windward islands?,0.9997,0,0
12524,what is the difference between the leeward and windward islands?,0.9995,0,0
12525,what is the difference between the leeward and windward islands?,0.9893,0,0
12526,what is the difference between the leeward and windward islands?,0.9996,0,0
12527,what is the difference between the leeward and windward islands?,0.9982,0,0
12552,how are water shares transferred,0.9998,0,0
12553,how are water shares transferred,0.9998,0,0
12554,how are water shares transferred,0.9998,0,0
12555,how are water shares transferred,0.9986,0,0
12556,how are water shares transferred,0.9983,0,0
12557,how are water shares transferred,0.9996,0,0
12600,teresa name meaning,0.3463,0,1
12601,teresa name meaning,0.9994,0,0
12602,teresa name meaning,0.9994,1,0
12603,teresa name meaning,0.9995,0,0
12604,teresa name meaning,0.985,0,0
12605,teresa name meaning,0.9988,0,0
12618,building a lean-to shed,0.9997,0,0
12619,building a lean-to shed,0.9998,0,0
12620,building a lean-to shed,0.9997,0,0
12621,building a lean-to shed,0.0095,0,1
12622,building a lean-to shed,0.9997,0,0
12623,building a lean-to shed,0.9997,0,0
12690,difference between vietnam and india,0.9996,0,0
12691,difference between vietnam and india,0.9985,0,0
12692,difference between vietnam and india,0.9978,1,0
12693,difference between vietnam and india,0.0086,1,1
12694,difference between vietnam and india,0.9975,1,0
12695,difference between vietnam and india,0.0038,1,1
12702,how to roast individual garlic cloves,0.9996,0,0
12703,how to roast individual garlic cloves,0.0057,0,1
12704,how to roast individual garlic cloves,0.0057,0,1
12705,how to roast individual garlic cloves,0.8378,0,0
12706,how to roast individual garlic cloves,0.0031,0,1
12707,how to roast individual garlic cloves,0.0083,0,1
12762,what is the treatment when asset is discarded as per income tax act,0.9997,0,0
12763,what is the treatment when asset is discarded as per income tax act,0.9997,0,0
12764,what is the treatment when asset is discarded as per income tax act,0.9727,0,0
12765,what is the treatment when asset is discarded as per income tax act,0.0051,1,1
12766,what is the treatment when asset is discarded as per income tax act,0.9989,0,0
12767,what is the treatment when asset is discarded as per income tax act,0.9982,0,0
12840,how to sew a zipper gusset,0.9997,0,0
12841,how to sew a zipper gusset,0.9998,0,0
12842,how to sew a zipper gusset,0.003,1,1
12843,how to sew a zipper gusset,0.9994,0,0
12844,how to sew a zipper gusset,0.9996,0,0
12845,how to sew a zipper gusset,0.9987,0,0
12900,how to bake hard boiled egg,0.9996,0,0
12901,how to bake hard boiled egg,0.9998,0,0
12902,how to bake hard boiled egg,0.6428,1,1
12903,how to bake hard boiled egg,0.0043,1,1
12904,how to bake hard boiled egg,0.0045,0,1
12905,how to bake hard boiled egg,0.9995,0,0
12912,what is the drawer for on bottom of oven stove,0.9997,0,0
12913,what is the drawer for on bottom of oven stove,0.9997,0,0
12914,what is the drawer for on bottom of oven stove,0.9997,0,0
12915,what is the drawer for on bottom of oven stove,0.9997,0,0
12916,what is the drawer for on bottom of oven stove,0.9997,0,0
12917,what is the drawer for on bottom of oven stove,0.9997,1,0
13038,how to factory reset a htc one vx,0.9998,0,0
13039,how to factory reset a htc one vx,0.9998,0,0
13040,how to factory reset a htc one vx,0.9308,0,0
13041,how to factory reset a htc one vx,0.9996,0,0
13042,how to factory reset a htc one vx,0.9605,1,0
13043,how to factory reset a htc one vx,0.9997,0,0
13068,what is psa levels mean,0.9997,0,0
13069,what is psa levels mean,0.9997,0,0
