id,question,faithfulness_score,truth_hallucinated,predicted_hallucinated
11904,how do automotive technicians get paid,0.94,0,0
11905,how do automotive technicians get paid,0.5688,0,0
11906,how do automotive technicians get paid,0.0164,0,1
11907,how do automotive technicians get paid,0.1931,0,0
11908,how do automotive technicians get paid,0.0707,1,1
11909,how do automotive technicians get paid,0.7209,0,0
12012,what is the difference between tartate and succinate,0.9608,0,0
12013,what is the difference between tartate and succinate,0.9511,0,0
12014,what is the difference between tartate and succinate,0.6283,0,0
12015,what is the difference between tartate and succinate,0.8752,0,0
12016,what is the difference between tartate and succinate,0.8752,0,0
12017,what is the difference between tartate and succinate,0.9907,0,0
12018,wat is dna,0.9289,0,0
12019,wat is dna,0.9438,0,0
12020,wat is dna,0.7803,0,0
12021,wat is dna,0.6723,0,0
12022,wat is dna,0.555,0,0
12023,wat is dna,0.555,0,0
12042,how to grill a porterhouse,0.0045,0,1
12043,how to grill a porterhouse,0.0476,0,1
12044,how to grill a porterhouse,0.0008,1,1
12045,how to grill a porterhouse,0.007,1,1
12046,how to grill a porterhouse,0.043,1,1
12047,how to grill a porterhouse,0.0476,0,1
12066,magellan of virginia provider,0.9143,0,0
12067,magellan of virginia provider,0.0394,0,1
12068,magellan of virginia provider,0.2279,0,0
12069,magellan of virginia provider,0.004,0,1
12070,magellan of virginia provider,0.0058,0,1
12071,magellan of virginia provider,0.0271,0,1
12102,how to fix a door that won't lock,0.8803,0,0
12103,how to fix a door that won't lock,0.009,0,1
12104,how to fix a door that won't lock,0.052,0,1
12105,how to fix a door that won't lock,0.0034,0,1
12106,how to fix a door that won't lock,0.3439,0,0
12107,how to fix a door that won't lock,0.0896,0,1
12132,how to cook pollock?,0.5992,0,0
12133,how to cook pollock?,0.0587,0,1
12134,how to cook pollock?,0.0019,0,1
12135,how to cook pollock?,0.0747,0,1
12136,how to cook pollock?,0.423,0,0
12137,how to cook pollock?,0.0041,0,1
12180,how to get plastic out of clothes dryer,0.1556,0,0
12181,how to get plastic out of clothes dryer,0.1407,0,0
12182,how to get plastic out of clothes dryer,0.2273,0,0
12183,how to get plastic out of clothes dryer,0.0424,0,1
12184,how to get plastic out of clothes dryer,0.1537,0,0
12185,how to get plastic out of clothes dryer,0.0615,0,1
12216,how to fold a quilt,0.0063,0,1
12217,how to fold a quilt,0.0032,0,1
12218,how to fold a quilt,0.0128,0,1
12219,how to fold a quilt,0.0137,1,1
12220,how to fold a quilt,0.0087,0,1
12221,how to fold a quilt,0.0137,0,1
12228,benefits of a water pick,0.8805,0,0
12229,benefits of a water pick,0.5492,0,0
12230,benefits of a water pick,0.9838,0,0
12231,benefits of a water pick,0.0303,0,1
12232,benefits of a water pick,0.9782,0,0
12233,benefits of a water pick,0.9192,1,0
12240,how can i keep birds from building a nest on my porch,0.9555,0,0
12241,how can i keep birds from building a nest on my porch,0.0202,0,1
12242,how can i keep birds from building a nest on my porch,0.4353,0,0
12243,how can i keep birds from building a nest on my porch,0.1477,0,0
12244,how can i keep birds from building a nest on my porch,0.0269,0,1
12245,how can i keep birds from building a nest on my porch,0.867,0,0
12258,set default browser to windows,0.0469,0,1
12259,set default browser to windows,0.4976,0,0
12260,set default browser to windows,0.0778,1,1
12261,set default browser to windows,0.0025,1,1
12262,set default browser to windows,0.0399,1,1
12263,set default browser to windows,0.0076,0,1
12294,what is the proper way to dispose of a worn usa flag,0.8825,0,0
12295,what is the proper way to dispose of a worn usa flag,0.171,0,0
12296,what is the proper way to dispose of a worn usa flag,0.9473,0,0
12297,what is the proper way to dispose of a worn usa flag,0.053,1,1
12298,what is the proper way to dispose of a worn usa flag,0.5521,0,0
12299,what is the proper way to dispose of a worn usa flag,0.4106,0,0
12330,how to tell if your male coworker is flirting with you,0.3838,0,0
12331,how to tell if your male coworker is flirting with you,0.0669,0,1
12332,how to tell if your male coworker is flirting with you,0.0328,0,1
12333,how to tell if your male coworker is flirting with you,0.063,0,1
12334,how to tell if your male coworker is flirting with you,0.0202,0,1
12335,how to tell if your male coworker is flirting with you,0.3394,0,0
12342,how to cook brats,0.048,0,1
12343,how to cook brats,0.0139,0,1
12344,how to cook brats,0.017,0,1
12345,how to cook brats,0.0024,1,1
12346,how to cook brats,0.0742,0,1
12347,how to cook brats,0.021,0,1
12432,symptoms and causes of ibs,0.396,0,0
12433,symptoms and causes of ibs,0.7179,0,0
12434,symptoms and causes of ibs,0.9869,0,0
12435,symptoms and causes of ibs,0.0675,1,1
12436,symptoms and causes of ibs,0.9985,0,0
12437,symptoms and causes of ibs,0.0035,0,1
12438,how to prepare blood slide,0.0066,0,1
12439,how to prepare blood slide,0.0295,0,1
12440,how to prepare blood slide,0.0486,0,1
12441,how to prepare blood slide,0.0075,0,1
12442,how to prepare blood slide,0.0106,0,1
12443,how to prepare blood slide,0.0171,0,1
12444,what is the difference between essential and nonessential amino acids,0.0578,0,1
12445,what is the difference between essential and nonessential amino acids,0.4197,0,0
12446,what is the difference between essential and nonessential amino acids,0.9593,0,0
12447,what is the difference between essential and nonessential amino acids,0.7354,0,0
12448,what is the difference between essential and nonessential amino acids,0.4347,0,0
12449,what is the difference between essential and nonessential amino acids,0.3272,1,0
12456,typical weather in indiana,0.0354,0,1
12457,typical weather in indiana,0.347,0,0
12458,typical weather in indiana,0.0464,1,1
12459,typical weather in indiana,0.0339,1,1
12460,typical weather in indiana,0.0038,1,1
12461,typical weather in indiana,0.4758,1,0
12468,how to sync audiobook from iphone to itunes,0.7524,0,0
12469,how to sync audiobook from iphone to itunes,0.0234,0,1
12470,how to sync audiobook from iphone to itunes,0.9603,0,0
12471,how to sync audiobook from iphone to itunes,0.0505,1,1
12472,how to sync audiobook from iphone to itunes,0.0362,0,1
12473,how to sync audiobook from iphone to itunes,0.0235,0,1
12516,how the body systems work together,0.9724,0,0
12517,how the body systems work together,0.7438,0,0
12518,how the body systems work together,0.0058,1,1
